Aspect Ratio,Solidity,Elongation,Eccentricity,Isoperimetric Factor,Maximal Indentation Depth,Lobedness,Stochastic Convexity,Third moment,Average Contrast,Class
1.7434,0.85754,0.62464,0.86224,0.32238,0.050792,0.46952,0.89298,0.010189,0.16335,Quercus robur
1.4507,0.9851,0.33575,0.69686,0.80461,0.0036582,0.0024356,1.0,0.003581,0.10889,Corylus avellana
2.0735,0.98686,0.52269,0.86224,0.70529,0.010097,0.018554,0.99474,0.0048689,0.12163,Acca sellowiana
8.991,0.68687,0.92789,0.99502,0.14478,0.18853,6.4689,0.86842,0.001673,0.068973,Podocarpus sp.
1.0471,0.95176,0.23328,0.38564,0.67107,0.050832,0.47028,0.97368,0.022,0.24744,Tilia tomentosa
2.5638,0.96226,0.62255,0.92479,0.57504,0.0097927,0.017453,0.97895,0.0040505,0.10029,Celtis sp.
9.9653,0.91515,0.90578,0.99569,0.17113,0.023896,0.10392,0.9807,0.0024074,0.082596,Pseudosasa japonica
1.9999,0.97215,0.52725,0.86587,0.67283,0.0092956,0.015726,0.99474,0.0014673,0.073946,Ilex aquifolium
1.0698,0.98017,0.13626,0.322,0.81953,0.012913,0.030347,0.99825,0.014159,0.18383,Euonymus japonicus
3.0198,0.98733,0.67312,0.93847,0.53234,0.0076393,0.010621,1.0,0.011932,0.18017,Magnolia grandiflora
2.1536,0.9788,0.53817,0.87202,0.65619,0.020327,0.075203,1.0,0.013211,0.18726,Magnolia soulangeana
1.5145,0.98686,0.34921,0.73067,0.81119,0.017693,0.056975,1.0,0.0081927,0.16841,Hydrangea sp.
1.5028,0.9828,0.34887,0.73365,0.80144,0.0053647,0.005238,1.0,0.0043013,0.10327,Euonymus japonicus
1.633,0.92597,0.49437,0.83029,0.62529,0.045331,0.37399,0.96842,0.029786,0.2648,Arisarum vulgare
1.3617,0.98949,0.26804,0.66551,0.76603,0.005179,0.0048816,1.0,0.0018166,0.074392,Ilex perado ssp. azorica
2.1277,0.96257,0.53926,0.86988,0.64927,0.027899,0.14166,1.0,0.0032376,0.096968,Primula vulgaris
3.1174,0.79489,0.70912,0.9456,0.33915,0.13457,3.2956,0.89298,0.008569,0.14875,Primula vulgaris
6.0596,0.97628,0.83612,0.98502,0.31546,0.02322,0.098133,0.98772,0.0032908,0.10661,Nerium oleander
1.2769,0.93889,0.31283,0.54913,0.5933,0.041539,0.31404,0.99123,0.02379,0.2605,Tilia tomentosa
1.047,0.56524,0.60511,0.24465,0.21788,0.12522,2.854,0.79474,0.006587,0.127,Acer palmatum
1.0066,0.91585,0.29593,0.50139,0.64029,0.021782,0.086347,0.99825,0.011106,0.1598,Populus nigra
1.1419,0.93305,0.30339,0.58637,0.57323,0.041282,0.31016,0.92105,0.0032291,0.093704,Erodium sp.
1.6421,0.85777,0.47458,0.82373,0.50374,0.020049,0.073157,0.98421,0.0023517,0.075567,Ilex aquifolium
1.5852,0.91036,0.41155,0.75259,0.65821,0.044162,0.35495,0.99298,0.026003,0.25343,Arisarum vulgare
5.8308,0.96489,0.82878,0.98326,0.30777,0.014672,0.039178,1.0,0.0014657,0.073118,Nerium oleander
2.6504,0.96002,0.63359,0.91707,0.53972,0.012062,0.026481,0.99298,0.0089657,0.18433,Magnolia grandiflora
1.7056,0.98477,0.42041,0.79495,0.76317,0.0074486,0.010098,1.0,0.0061549,0.14621,Hydrangea sp.
6.5173,0.96846,0.84726,0.98717,0.28899,0.022056,0.08854,1.0,0.0043818,0.11842,Nerium oleander
1.873,0.98047,0.49654,0.8561,0.6913,0.0092289,0.015501,1.0,0.0024623,0.1039,Ilex perado ssp. azorica
1.8829,0.93066,0.4698,0.80393,0.58011,0.043787,0.34894,0.99298,0.0014329,0.061975,Buxus sempervirens
1.1232,0.80214,0.46175,0.48967,0.31034,0.073462,0.9822,0.9,0.010102,0.17926,Populus alba
2.638,0.96692,0.62859,0.91885,0.52269,0.020081,0.07339,0.99123,0.013322,0.1674,Primula vulgaris
2.5488,0.97388,0.6106,0.9109,0.55818,0.01972,0.070775,0.99825,0.0074614,0.17022,Magnolia grandiflora
1.4779,0.99388,0.3298,0.72719,0.8423,0.0029668,0.0016019,1.0,0.0017846,0.081903,Ilex perado ssp. azorica
5.8719,0.95488,0.82847,0.98361,0.32134,0.040164,0.29359,0.98421,0.0043872,0.11622,Nerium oleander
1.9016,0.96505,0.47622,0.82256,0.69746,0.025026,0.11398,1.0,0.00022942,0.033415,Buxus sempervirens
1.0544,0.63754,0.72231,0.46348,0.20039,0.14864,4.0212,0.47544,0.00087543,0.053494,Crataegus monogyna
1.3298,0.96952,0.2836,0.62011,0.77871,0.0086562,0.013637,0.99825,0.0037549,0.1186,Alnus sp.
1.1428,0.93638,0.24265,0.35141,0.47846,0.019721,0.070781,0.99123,0.0089893,0.18794,Urtica dioica
1.2318,0.94783,0.25226,0.55518,0.54965,0.015115,0.041582,0.99123,0.0057336,0.13996,Urtica dioica
1.1599,0.91562,0.47899,0.62404,0.45154,0.097205,1.7197,0.85088,0.0024109,0.076408,Erodium sp.
1.1928,0.93428,0.30567,0.41933,0.50688,0.020948,0.079866,0.98947,0.003903,0.12508,Urtica dioica
1.0405,0.48549,0.6901,0.38203,0.13165,0.11852,2.5565,0.63684,0.0026591,0.093312,Acer palmatum
2.4734,0.87869,0.60898,0.87863,0.45758,0.056994,0.59119,0.99123,0.0087482,0.16369,Celtis sp.
2.7582,0.98346,0.64257,0.93361,0.59851,0.0055336,0.0055731,1.0,0.0020648,0.089889,Salix atrocinera
1.095,0.52398,0.68828,0.43425,0.15396,0.13761,3.4462,0.54211,0.00134,0.073202,Acer palmatum
1.202,0.89373,0.47365,0.63548,0.44347,0.077616,1.0964,0.86842,0.005084,0.10386,Erodium sp.
1.0944,0.97545,0.1745,0.11708,0.81957,0.016114,0.047259,1.0,0.001568,0.087092,Bougainvillea sp.
1.3442,0.9298,0.34301,0.55977,0.57879,0.053564,0.52218,0.97544,0.02381,0.25543,Tilia tomentosa
2.695,0.92994,0.63571,0.92522,0.505,0.040707,0.30158,0.99298,0.0096617,0.15592,Primula vulgaris
1.088,0.7638,0.51739,0.60319,0.23802,0.077022,1.0797,0.90175,0.0088846,0.17976,Populus alba
1.5285,0.87291,0.46455,0.73086,0.4865,0.034289,0.21399,0.97193,0.0035859,0.10191,Betula pubescens
1.0419,0.77201,0.51662,0.52744,0.33784,0.11438,2.3811,0.84211,0.0017982,0.082047,Crataegus monogyna
1.1632,0.91639,0.37528,0.68605,0.61136,0.030339,0.16753,0.99825,0.012886,0.16858,Populus nigra
2.4038,0.97688,0.59263,0.90831,0.59259,0.0064679,0.0076137,0.99825,0.0067017,0.1472,Castanea sativa
1.0965,0.52833,0.65899,0.4042,0.1771,0.13017,3.0837,0.68421,0.0028927,0.096836,Acer palmatum
2.9367,0.92543,0.66689,0.93396,0.45676,0.030052,0.16437,0.99474,0.0017096,0.071198,Primula vulgaris
1.278,0.91793,0.32286,0.53941,0.63545,0.034884,0.22147,0.97368,0.0076389,0.15124,Betula pubescens
2.9198,0.96861,0.65845,0.92081,0.52299,0.011587,0.024437,0.99825,0.01122,0.16842,Magnolia soulangeana
1.6934,0.98181,0.43387,0.79606,0.76985,0.0077992,0.011071,1.0,0.00081648,0.057832,Quercus suber
2.457,0.97034,0.61108,0.91355,0.5645,0.0077029,0.010799,0.97544,0.011708,0.18786,Castanea sativa
10.736,0.92586,0.90851,0.99505,0.18236,0.028571,0.14856,0.99649,0.0013129,0.06961,Pseudosasa japonica
1.487,0.97307,0.33465,0.67925,0.7713,0.012399,0.02798,0.98246,0.00049059,0.044132,Bougainvillea sp.
2.2029,0.98635,0.54993,0.88566,0.59039,0.0037601,0.0025732,1.0,0.0056604,0.12459,Acca sellowiana
2.0417,0.94477,0.52999,0.86675,0.55141,0.028749,0.15043,0.98947,0.0064538,0.12007,Primula vulgaris
1.5301,0.97994,0.35707,0.72174,0.78622,0.013545,0.03339,0.99649,0.0038198,0.11435,Hydrangea sp.
1.3166,0.97053,0.28616,0.64056,0.77183,0.0091632,0.015281,0.99649,0.00089749,0.065575,Alnus sp.
2.3455,0.98504,0.57721,0.90305,0.58743,0.0044044,0.0035306,1.0,0.0015394,0.077826,Acca sellowiana
1.5634,0.76697,0.53329,0.83755,0.27825,0.039592,0.28528,0.95088,0.0028187,0.087838,Ilex aquifolium
1.1176,0.66502,0.58847,0.30574,0.24074,0.10064,1.8435,0.84737,0.0054026,0.14273,Populus alba
2.0659,0.94868,0.55339,0.87163,0.60231,0.031671,0.18255,1.0,0.0066921,0.1344,Ilex aquifolium
1.2115,0.76364,0.68343,0.47728,0.23896,0.10747,2.1022,0.56667,0.0018312,0.080623,Crataegus monogyna
1.1116,0.57724,0.65626,0.51247,0.16867,0.11187,2.2776,0.59298,0.00087861,0.061238,Acer palmatum
1.5603,0.98701,0.38474,0.75285,0.78037,0.004611,0.0038695,0.99649,0.0038164,0.11723,Corylus avellana
2.0052,0.96585,0.49931,0.84579,0.65149,0.019981,0.07266,0.99825,0.00035119,0.036189,Buxus sempervirens
3.0366,0.93952,0.69248,0.94058,0.42979,0.031219,0.17738,0.99474,0.0032156,0.1076,Castanea sativa
1.2496,0.98317,0.2238,0.52828,0.82495,0.010372,0.01958,1.0,0.0019794,0.10274,Bougainvillea sp.
1.1286,0.96405,0.17039,0.39289,0.79407,0.011761,0.025176,1.0,0.0015299,0.078211,Alnus sp.
1.0118,0.57134,0.6301,0.44882,0.16187,0.11115,2.2486,0.81053,0.0022734,0.088889,Acer palmatum
1.0646,0.90487,0.3446,0.60803,0.67517,0.031915,0.18538,0.99649,0.010602,0.16411,Populus nigra
10.12,0.80662,0.92461,0.99593,0.15053,0.12257,2.7342,0.90702,0.00090459,0.052333,Podocarpus sp.
1.2067,0.72175,0.70618,0.50964,0.21009,0.11264,2.3093,0.56491,0.0020323,0.080306,Crataegus monogyna
1.1366,0.95565,0.22905,0.46094,0.71234,0.038286,0.26678,0.97544,0.016554,0.22041,Tilia tomentosa
2.5247,0.9787,0.61648,0.91852,0.63037,0.0050494,0.0046404,1.0,0.0018929,0.082029,Salix atrocinera
2.141,0.98483,0.54004,0.86832,0.69313,0.009048,0.0149,1.0,0.011659,0.2052,Magnolia soulangeana
11.361,0.91815,0.914,0.9967,0.14435,0.019976,0.072629,0.93684,0.0028469,0.085514,Pseudosasa japonica
1.0751,0.74395,0.55667,0.53693,0.27241,0.080278,1.1729,0.77544,0.007318,0.16265,Populus alba
2.0014,0.9557,0.50157,0.83275,0.67019,0.028422,0.14702,0.99649,0.00073282,0.051082,Buxus sempervirens
6.1763,0.97837,0.83942,0.986,0.31607,0.011769,0.025208,0.99298,0.0060176,0.13524,Nerium oleander
2.4132,0.96618,0.60362,0.91378,0.56153,0.0091377,0.015197,0.99649,0.013227,0.20316,Castanea sativa
2.7289,0.96685,0.64656,0.91397,0.55519,0.022351,0.090925,0.99298,0.0070313,0.1525,Magnolia soulangeana
1.4927,0.98296,0.34116,0.7459,0.83088,0.0055665,0.0056395,1.0,0.00030872,0.036511,Quercus suber
2.2553,0.98284,0.56472,0.88661,0.67537,0.012123,0.026749,1.0,0.0020893,0.083617,Acca sellowiana
1.4597,0.97406,0.3304,0.64897,0.75323,0.016021,0.046715,1.0,0.00051116,0.050266,Bougainvillea sp.
2.0997,0.9358,0.532,0.86049,0.5343,0.033994,0.21032,0.98772,0.0080226,0.13592,Primula vulgaris
1.1574,0.91741,0.42617,0.48229,0.46699,0.063396,0.73147,0.92456,0.0044681,0.105,Erodium sp.
1.4026,0.9799,0.30387,0.65119,0.80081,0.0082573,0.012409,1.0,0.0087245,0.185,Hydrangea sp.
2.0918,0.9451,0.51732,0.84501,0.6071,0.039781,0.28802,1.0,0.00050789,0.044849,Buxus sempervirens
1.3004,0.93324,0.31556,0.64161,0.65487,0.017963,0.058729,0.97895,0.0014678,0.08221,Alnus sp.
1.1782,0.91803,0.32151,0.32175,0.58719,0.045933,0.384,0.97544,0.0048174,0.14622,Tilia tomentosa
1.3574,0.98631,0.28063,0.64314,0.81381,0.0052732,0.0050608,0.99825,0.0044631,0.13108,Corylus avellana
1.084,0.92056,0.32592,0.59571,0.65698,0.024753,0.11151,0.99825,0.010881,0.14722,Populus nigra
1.3612,0.98738,0.28845,0.63969,0.82125,0.0042318,0.0032593,1.0,0.0066506,0.15813,Corylus avellana
1.4925,0.98262,0.34048,0.70115,0.78473,0.0061511,0.0068862,1.0,0.0087725,0.17102,Corylus avellana
1.1928,0.77564,0.474,0.56324,0.34791,0.069404,0.87668,0.93333,0.0094494,0.17923,Populus alba
1.0836,0.74434,0.49548,0.44271,0.26478,0.079481,1.1497,0.87018,0.0076406,0.1726,Populus alba
1.0384,0.78118,0.48465,0.4132,0.30478,0.080722,1.1859,0.87018,0.0058992,0.12619,Populus alba
1.7011,0.81465,0.5348,0.84886,0.37276,0.035424,0.22838,0.97018,0.0057424,0.1192,Ilex aquifolium
1.8096,0.83923,0.63151,0.87844,0.37688,0.043563,0.34539,0.83684,0.0051589,0.12554,Quercus robur
1.6643,0.96016,0.49439,0.83094,0.65605,0.023841,0.10345,0.99649,0.025308,0.24766,Arisarum vulgare
6.2904,0.97085,0.84124,0.98695,0.29288,0.023221,0.09814,1.0,0.0024919,0.089821,Nerium oleander
10.913,0.70085,0.93836,0.99698,0.11552,0.15334,4.2796,0.93684,0.00089618,0.055629,Podocarpus sp.
1.3743,0.98646,0.28162,0.64536,0.84494,0.005427,0.0053602,1.0,0.0020334,0.085949,Corylus avellana
1.0456,0.74413,0.77124,0.3687,0.22278,0.075187,1.0289,0.77368,0.012414,0.17993,Geranium sp.
1.569,0.97599,0.37089,0.71999,0.77145,0.013975,0.035546,0.99825,0.0086099,0.19286,Hydrangea sp.
9.7351,0.93346,0.90444,0.99456,0.19638,0.020897,0.079479,0.98421,0.0019012,0.075247,Podocarpus sp.
1.0573,0.93923,0.26213,0.36127,0.59302,0.04962,0.44811,0.96667,0.023825,0.28081,Tilia tomentosa
1.0551,0.93641,0.25044,0.19287,0.47284,0.019693,0.070581,0.99474,0.0045832,0.1303,Urtica dioica
2.582,0.96837,0.62394,0.90755,0.55674,0.031714,0.18305,0.99825,0.0074124,0.16213,Magnolia grandiflora
1.2323,0.77037,0.60663,0.63965,0.24135,0.12438,2.8155,0.62105,0.0034208,0.096215,Crataegus monogyna
1.5763,0.98731,0.38954,0.75968,0.82323,0.005582,0.0056708,1.0,0.0027074,0.098208,Ilex perado ssp. azorica
1.2499,0.94477,0.30101,0.50114,0.6743,0.0494,0.44415,0.9807,0.025877,0.23034,Tilia tomentosa
2.4203,0.98407,0.59323,0.8942,0.60794,0.01743,0.055294,1.0,0.0098155,0.18748,Magnolia grandiflora
2.6955,0.98275,0.62998,0.91677,0.59459,0.0049218,0.0044087,1.0,0.0096762,0.1876,Magnolia soulangeana
1.4947,0.97906,0.34694,0.69887,0.74423,0.0070445,0.0090318,1.0,0.0079843,0.15809,Hydrangea sp.
1.8903,0.96435,0.47248,0.82924,0.661,0.023836,0.10341,0.99825,0.00036897,0.037634,Buxus sempervirens
1.5016,0.98776,0.34772,0.70275,0.80848,0.0037534,0.002564,0.99825,0.004022,0.12613,Corylus avellana
3.8162,0.82566,0.74273,0.96652,0.32925,0.1446,3.8052,0.94737,0.0046292,0.10148,Primula vulgaris
1.9126,0.94904,0.47835,0.8187,0.58585,0.03806,0.26364,0.99298,0.00029213,0.034026,Buxus sempervirens
1.1117,0.54701,0.67175,0.52382,0.15157,0.13674,3.4028,0.62982,0.0021373,0.085792,Acer palmatum
2.0398,0.98831,0.51338,0.86248,0.71419,0.0057488,0.0060148,1.0,0.006376,0.13941,Acca sellowiana
1.8572,0.91339,0.51931,0.84285,0.60526,0.028734,0.15027,0.97544,0.0048867,0.1156,Ilex aquifolium
11.006,0.86962,0.92239,0.99611,0.14581,0.064792,0.76404,0.99123,0.00098398,0.057808,Podocarpus sp.
1.6657,0.84493,0.59909,0.82268,0.32056,0.048803,0.43348,0.85614,0.013523,0.18571,Quercus robur
1.0558,0.73454,0.77733,0.14986,0.1688,0.08041,1.1768,0.66316,0.0080165,0.1806,Geranium sp.
1.1294,0.94201,0.25496,0.23041,0.6084,0.040722,0.3018,0.97368,0.02418,0.23571,Tilia tomentosa
1.9935,0.98449,0.50107,0.85278,0.72127,0.0068277,0.0084843,0.99825,0.0015733,0.070923,Acca sellowiana
1.4399,0.98318,0.32986,0.68878,0.7847,0.0070802,0.0091235,1.0,0.008786,0.17243,Hydrangea sp.
1.56,0.91036,0.49513,0.81957,0.60691,0.045977,0.38473,0.98421,0.015521,0.20665,Arisarum vulgare
1.2708,0.98173,0.24364,0.5895,0.82082,0.0074388,0.010071,0.99649,0.0041,0.11576,Euonymus japonicus
1.5303,0.96802,0.42937,0.79389,0.79209,0.016566,0.049949,0.99649,0.0041812,0.11769,Ilex perado ssp. azorica
1.6549,0.98964,0.40919,0.79923,0.815,0.0048968,0.0043641,1.0,0.0025009,0.091008,Ilex perado ssp. azorica
1.2503,0.97337,0.23254,0.53017,0.82703,0.0066263,0.0079913,1.0,0.0027809,0.10941,Alnus sp.
1.774,0.8499,0.63974,0.88172,0.34354,0.051776,0.4879,0.87368,0.0080813,0.1519,Quercus robur
1.736,0.83383,0.58345,0.88075,0.41551,0.040582,0.29973,0.91754,0.002759,0.10047,Quercus robur
12.009,0.67005,0.94529,0.99767,0.11114,0.19898,7.2062,0.94386,0.00066765,0.051104,Podocarpus sp.
1.1127,0.95426,0.27055,0.32168,0.70006,0.05426,0.53584,0.99298,0.016252,0.21507,Tilia tomentosa
1.9548,0.98622,0.4892,0.85121,0.70267,0.0039733,0.0028733,1.0,0.0012274,0.070841,Salix atrocinera
1.9848,0.9418,0.50917,0.82866,0.55942,0.025524,0.11857,0.99825,0.0086548,0.16692,Celtis sp.
2.803,0.976,0.65133,0.92535,0.48413,0.015435,0.04336,1.0,0.0091801,0.18338,Magnolia grandiflora
1.86,0.99039,0.46549,0.84113,0.75976,0.0046759,0.0039793,1.0,0.0044528,0.13234,Salix atrocinera
2.7054,0.87687,0.64091,0.91747,0.42531,0.089364,1.4534,0.98947,0.0047692,0.12098,Primula vulgaris
