SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
2300,1,1,2,1,1,6,0,0,100,2,1,0,1,1,1,1,0,1,1,0
300,1,12,3,1,2,10,0,0,100,1,2,0,1,0,1,0,0,0,0,0
1400,1,1,1,1,2,10,0,0,100,5,5,0,1,1,1,1,1,1,1,0
300,1,15,1,1,1,10,0,0,100,5,5,0,1,0,1,0,0,0,0,0
2600,1,1,2,2,10,6,0,0,50,0,0,0,1,1,1,1,0,1,0,0
300,1,14,1,2,7,10,0,0,100,2,0,0,1,0,1,1,1,0,0,0
22000,1,1,4,6,9,6,0,0,100,0,0,0,1,1,1,1,1,1,0,0
300,1,12,3,10,2,1,0,0,100,2,0,0,1,0,1,0,0,0,0,0
300,1,12,4,1,10,2,0,0,100,5,5,0,1,0,1,0,0,0,0,0
1000,2,1,3,2,6,1,0,0,100,0,1,0,1,1,1,1,1,1,1,1
300,1,15,1,1,1,9,0,0,100,0,1,0,1,0,1,0,0,0,0,0
200,1,1,1,6,6,2,0,0,75,0,0,0,1,0,1,1,1,1,1,1
300,1,14,2,2,9,7,0,0,75,0,2,0,1,0,1,0,0,0,0,0
1000,1,14,2,7,1,9,0,0,75,1,2,0,1,0,1,0,0,0,0,0
4000,2,1,1,4,6,9,3,2,80,1,1,0,1,1,1,1,0,1,1,1
200,1,12,3,10,1,6,0,0,100,1,2,0,1,0,1,1,0,0,0,0
4000,1,12,4,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0
2300,1,12,3,2,2,1,0,0,75,2,1,0,1,0,1,0,0,0,0,0
300,1,14,2,7,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0
300,1,12,3,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0
