SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Amphibian
7000.0,6.0,1.0,1.0,6.0,10.0,2.0,3.0,4.0,50.0,0.0,0.0,0.0,1.0,Green frogs
7000.0,6.0,1.0,1.0,6.0,10.0,2.0,3.0,4.0,50.0,0.0,0.0,0.0,1.0,Common toad
2500.0,1.0,1.0,3.0,10.0,2.0,6.0,0.0,1.0,100.0,0.0,1.0,0.0,1.0,Green frogs
2500.0,1.0,1.0,3.0,10.0,2.0,6.0,0.0,1.0,100.0,0.0,1.0,0.0,1.0,Common toad
2500.0,1.0,1.0,3.0,10.0,2.0,6.0,0.0,1.0,100.0,0.0,1.0,0.0,1.0,Common newt
800.0,1.0,1.0,0.0,1.0,2.0,7.0,3.0,4.0,100.0,2.0,1.0,0.0,1.0,Brown frogs
800.0,1.0,1.0,0.0,1.0,2.0,7.0,3.0,4.0,100.0,2.0,1.0,0.0,1.0,Common toad
1700.0,1.0,1.0,3.0,10.0,6.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,Brown frogs
1700.0,1.0,1.0,3.0,10.0,6.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,Common toad
300.0,1.0,1.0,2.0,7.0,2.0,10.0,0.0,0.0,100.0,5.0,5.0,2.0,1.0,Green frogs
300.0,1.0,1.0,2.0,7.0,2.0,10.0,0.0,0.0,100.0,5.0,5.0,2.0,1.0,Common newt
4500.0,1.0,1.0,1.0,2.0,2.0,9.0,3.0,2.0,100.0,9.0,9.0,0.0,1.0,Green frogs
4500.0,1.0,1.0,1.0,2.0,2.0,9.0,3.0,2.0,100.0,9.0,9.0,0.0,1.0,Brown frogs
4500.0,1.0,1.0,1.0,2.0,2.0,9.0,3.0,2.0,100.0,9.0,9.0,0.0,1.0,Common toad
4500.0,1.0,1.0,1.0,2.0,2.0,9.0,3.0,2.0,100.0,9.0,9.0,0.0,1.0,Tree frog
1000.0,1.0,12.0,4.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,9.0,0.0,1.0,Brown frogs
7000.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Fire-bellied toad
7000.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
7000.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Great crested newt
30000.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
30000.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
30000.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
30000.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,100.0,5.0,5.0,0.0,1.0,Common newt
30000.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,100.0,5.0,5.0,0.0,1.0,Great crested newt
7000.0,1.0,1.0,3.0,2.0,2.0,7.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,Brown frogs
7000.0,1.0,1.0,3.0,2.0,2.0,7.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,Common toad
7000.0,1.0,1.0,3.0,2.0,2.0,7.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,Tree frog
3300.0,1.0,1.0,3.0,2.0,1.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
3300.0,1.0,1.0,3.0,2.0,1.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
2100.0,1.0,1.0,3.0,2.0,9.0,2.0,0.0,0.0,50.0,0.0,1.0,0.0,1.0,Tree frog
500.0,1.0,1.0,0.0,2.0,10.0,6.0,3.0,4.0,100.0,2.0,1.0,0.0,1.0,Green frogs
500.0,1.0,1.0,0.0,2.0,10.0,6.0,3.0,4.0,100.0,2.0,1.0,0.0,1.0,Brown frogs
400.0,2.0,1.0,2.0,2.0,10.0,10.0,0.0,0.0,100.0,1.0,5.0,0.0,1.0,Brown frogs
300.0,1.0,1.0,1.0,2.0,10.0,10.0,0.0,0.0,100.0,2.0,2.0,0.0,1.0,Brown frogs
300.0,1.0,1.0,1.0,2.0,10.0,10.0,0.0,0.0,100.0,2.0,2.0,0.0,1.0,Common toad
1100.0,1.0,1.0,0.0,2.0,6.0,10.0,3.0,4.0,100.0,2.0,2.0,0.0,1.0,Brown frogs
1100.0,1.0,1.0,0.0,2.0,6.0,10.0,3.0,4.0,100.0,2.0,2.0,0.0,1.0,Common toad
1000.0,1.0,1.0,2.0,2.0,10.0,6.0,0.0,0.0,100.0,1.0,1.0,0.0,1.0,Fire-bellied toad
400.0,1.0,5.0,1.0,6.0,2.0,10.0,1.0,0.0,75.0,2.0,0.0,0.0,1.0,Common toad
400.0,1.0,5.0,1.0,6.0,2.0,10.0,1.0,0.0,75.0,2.0,0.0,0.0,1.0,Tree frog
400.0,1.0,5.0,1.0,6.0,2.0,10.0,1.0,0.0,75.0,2.0,0.0,0.0,1.0,Great crested newt
100.0,1.0,1.0,2.0,2.0,6.0,10.0,0.0,0.0,100.0,1.0,1.0,0.0,1.0,Brown frogs
100.0,1.0,5.0,1.0,7.0,2.0,6.0,3.0,0.0,100.0,2.0,1.0,0.0,1.0,Green frogs
80000.0,1.0,12.0,4.0,2.0,2.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
80000.0,1.0,12.0,4.0,2.0,2.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Fire-bellied toad
80000.0,1.0,12.0,4.0,2.0,2.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
200.0,1.0,12.0,4.0,2.0,2.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
200.0,1.0,12.0,4.0,2.0,2.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Fire-bellied toad
200.0,1.0,12.0,4.0,2.0,2.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
100.0,1.0,11.0,4.0,2.0,6.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
100.0,1.0,11.0,4.0,2.0,6.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
2500.0,1.0,1.0,3.0,7.0,2.0,9.0,0.0,0.0,75.0,0.0,2.0,0.0,1.0,Brown frogs
31000.0,6.0,1.0,0.0,2.0,7.0,6.0,3.0,4.0,100.0,5.0,5.0,0.0,1.0,Green frogs
31000.0,6.0,1.0,0.0,2.0,7.0,6.0,3.0,4.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
31000.0,6.0,1.0,0.0,2.0,7.0,6.0,3.0,4.0,100.0,5.0,5.0,0.0,1.0,Common toad
500.0,1.0,12.0,4.0,2.0,7.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
500.0,1.0,12.0,4.0,2.0,7.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
500.0,1.0,12.0,4.0,2.0,7.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
500.0,1.0,12.0,4.0,2.0,7.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Fire-bellied toad
500.0,1.0,12.0,4.0,2.0,7.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
25000.0,5.0,1.0,0.0,2.0,9.0,7.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,Green frogs
25000.0,5.0,1.0,0.0,2.0,9.0,7.0,3.0,4.0,75.0,0.0,0.0,0.0,1.0,Fire-bellied toad
40000.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,100.0,5.0,0.0,0.0,1.0,Green frogs
40000.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,100.0,5.0,0.0,0.0,1.0,Brown frogs
40000.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,100.0,5.0,0.0,0.0,1.0,Fire-bellied toad
40000.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,100.0,5.0,0.0,0.0,1.0,Common newt
1900.0,7.0,12.0,4.0,2.0,6.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
1900.0,7.0,12.0,4.0,2.0,6.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
1900.0,7.0,12.0,4.0,2.0,6.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
1900.0,7.0,12.0,4.0,2.0,6.0,7.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common newt
30.0,1.0,1.0,2.0,2.0,7.0,6.0,0.0,0.0,75.0,0.0,1.0,0.0,1.0,Brown frogs
30.0,1.0,1.0,2.0,2.0,7.0,6.0,0.0,0.0,75.0,0.0,1.0,0.0,1.0,Common toad
30.0,1.0,1.0,2.0,2.0,7.0,6.0,0.0,0.0,75.0,0.0,1.0,0.0,1.0,Common newt
4300.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
4300.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
4300.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
4300.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
4300.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Great crested newt
4000.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
4000.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
4000.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
300.0,1.0,1.0,4.0,1.0,2.0,6.0,0.0,0.0,99.0,2.0,2.0,0.0,1.0,Brown frogs
400.0,1.0,1.0,2.0,1.0,7.0,6.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,Brown frogs
400.0,1.0,1.0,2.0,1.0,7.0,6.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,Common newt
1000.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
1000.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
1000.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
1000.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Fire-bellied toad
1000.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
1000.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common newt
1500.0,2.0,2.0,2.0,7.0,2.0,6.0,1.0,2.0,100.0,5.0,0.0,0.0,1.0,Brown frogs
1500.0,2.0,2.0,2.0,7.0,2.0,6.0,1.0,2.0,100.0,5.0,0.0,0.0,1.0,Common toad
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Tree frog
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common newt
600.0,1.0,1.0,2.0,7.0,1.0,10.0,0.0,0.0,100.0,2.0,2.0,0.0,1.0,Tree frog
28300.0,4.0,1.0,1.0,2.0,7.0,6.0,3.0,2.0,100.0,0.0,0.0,0.0,1.0,Green frogs
28300.0,4.0,1.0,1.0,2.0,7.0,6.0,3.0,2.0,100.0,0.0,0.0,0.0,1.0,Brown frogs
28300.0,4.0,1.0,1.0,2.0,7.0,6.0,3.0,2.0,100.0,0.0,0.0,0.0,1.0,Common toad
28300.0,4.0,1.0,1.0,2.0,7.0,6.0,3.0,2.0,100.0,0.0,0.0,0.0,1.0,Fire-bellied toad
1000.0,1.0,1.0,0.0,1.0,6.0,7.0,3.0,3.0,75.0,0.0,0.0,0.0,1.0,Green frogs
1000.0,1.0,1.0,0.0,1.0,6.0,7.0,3.0,3.0,75.0,0.0,0.0,0.0,1.0,Common toad
50.0,1.0,1.0,2.0,2.0,7.0,10.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
50.0,1.0,1.0,2.0,2.0,7.0,10.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
50.0,1.0,1.0,2.0,2.0,7.0,10.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
50.0,1.0,1.0,2.0,2.0,7.0,10.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Fire-bellied toad
9000.0,2.0,2.0,0.0,10.0,1.0,7.0,1.0,2.0,100.0,1.0,1.0,0.0,1.0,Green frogs
9000.0,2.0,2.0,0.0,10.0,1.0,7.0,1.0,2.0,100.0,1.0,1.0,0.0,1.0,Common toad
19300.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,75.0,2.0,0.0,0.0,1.0,Green frogs
19300.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,75.0,2.0,0.0,0.0,1.0,Brown frogs
19300.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,75.0,2.0,0.0,0.0,1.0,Common toad
19300.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,75.0,2.0,0.0,0.0,1.0,Fire-bellied toad
19300.0,2.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,75.0,2.0,0.0,0.0,1.0,Tree frog
100.0,1.0,1.0,4.0,2.0,9.0,1.0,0.0,0.0,100.0,1.0,2.0,0.0,1.0,Green frogs
100.0,1.0,1.0,4.0,2.0,9.0,1.0,0.0,0.0,100.0,1.0,2.0,0.0,1.0,Common toad
3500.0,1.0,2.0,0.0,6.0,9.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,Green frogs
3500.0,1.0,2.0,0.0,6.0,9.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,Brown frogs
3500.0,1.0,2.0,0.0,6.0,9.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,Common toad
300.0,1.0,12.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
300.0,1.0,12.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
100.0,1.0,12.0,4.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
200.0,1.0,12.0,4.0,7.0,2.0,6.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,Brown frogs
300.0,1.0,12.0,4.0,2.0,2.0,7.0,0.0,0.0,100.0,2.0,5.0,0.0,1.0,Brown frogs
300.0,1.0,11.0,3.0,7.0,1.0,1.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Green frogs
300.0,1.0,11.0,3.0,7.0,1.0,1.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Brown frogs
300.0,1.0,11.0,3.0,7.0,1.0,1.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Common toad
300.0,1.0,11.0,3.0,7.0,1.0,1.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Tree frog
300.0,1.0,11.0,3.0,1.0,2.0,10.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Green frogs
300.0,1.0,11.0,3.0,1.0,2.0,10.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Brown frogs
300.0,1.0,11.0,3.0,1.0,2.0,10.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Fire-bellied toad
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Green frogs
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
300.0,1.0,14.0,3.0,7.0,2.0,1.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
1000.0,1.0,1.0,2.0,2.0,7.0,9.0,0.0,0.0,75.0,0.0,0.0,0.0,1.0,Common toad
9100.0,1.0,1.0,0.0,7.0,10.0,2.0,3.0,3.0,100.0,5.0,5.0,0.0,1.0,Green frogs
100.0,1.0,11.0,4.0,1.0,10.0,2.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Green frogs
100.0,1.0,11.0,4.0,1.0,10.0,2.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Brown frogs
100.0,1.0,11.0,4.0,1.0,10.0,2.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Common toad
100.0,1.0,11.0,4.0,1.0,10.0,2.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Tree frog
100.0,1.0,1.0,2.0,2.0,7.0,6.0,0.0,0.0,100.0,2.0,2.0,2.0,1.0,Green frogs
300.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,1.0,0.0,1.0,Fire-bellied toad
300.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,100.0,5.0,1.0,0.0,1.0,Tree frog
500.0,2.0,1.0,0.0,2.0,9.0,1.0,3.0,3.0,100.0,1.0,2.0,0.0,1.0,Common toad
1000.0,1.0,1.0,3.0,2.0,1.0,9.0,0.0,0.0,100.0,2.0,5.0,0.0,1.0,Tree frog
500.0,1.0,12.0,4.0,7.0,1.0,1.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Green frogs
500.0,1.0,12.0,4.0,7.0,1.0,1.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Common toad
500.0,1.0,12.0,4.0,7.0,1.0,1.0,0.0,0.0,100.0,10.0,10.0,0.0,1.0,Common newt
600.0,2.0,1.0,1.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,0.0,0.0,1.0,Green frogs
600.0,2.0,1.0,1.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,0.0,0.0,1.0,Brown frogs
600.0,2.0,1.0,1.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,0.0,0.0,1.0,Common toad
600.0,2.0,1.0,1.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,0.0,0.0,1.0,Tree frog
600.0,2.0,1.0,1.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,0.0,0.0,1.0,Common newt
600.0,2.0,1.0,1.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,0.0,0.0,1.0,Great crested newt
1300.0,1.0,1.0,0.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,1.0,0.0,1.0,Brown frogs
1300.0,1.0,1.0,0.0,1.0,10.0,6.0,3.0,1.0,100.0,1.0,1.0,0.0,1.0,Common toad
2000.0,3.0,1.0,4.0,10.0,10.0,11.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
2000.0,3.0,1.0,4.0,10.0,10.0,11.0,0.0,0.0,100.0,5.0,5.0,0.0,1.0,Common toad
300.0,1.0,15.0,2.0,2.0,11.0,6.0,0.0,0.0,100.0,2.0,5.0,0.0,1.0,Brown frogs
300.0,1.0,15.0,2.0,2.0,11.0,6.0,0.0,0.0,100.0,2.0,5.0,0.0,1.0,Common toad
300.0,1.0,15.0,2.0,2.0,11.0,6.0,0.0,0.0,100.0,2.0,5.0,0.0,1.0,Tree frog
10050.0,1.0,1.0,2.0,1.0,10.0,6.0,0.0,1.0,100.0,5.0,5.0,0.0,1.0,Brown frogs
10050.0,1.0,1.0,2.0,1.0,10.0,6.0,0.0,1.0,100.0,5.0,5.0,0.0,1.0,Common toad
10050.0,1.0,1.0,2.0,1.0,10.0,6.0,0.0,1.0,100.0,5.0,5.0,0.0,1.0,Fire-bellied toad
10050.0,1.0,1.0,2.0,1.0,10.0,6.0,0.0,1.0,100.0,5.0,5.0,0.0,1.0,Common newt
10050.0,1.0,1.0,2.0,1.0,10.0,6.0,0.0,1.0,100.0,5.0,5.0,0.0,1.0,Great crested newt
9000.0,3.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,100.0,9.0,9.0,0.0,1.0,Green frogs
9000.0,3.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,100.0,9.0,9.0,0.0,1.0,Brown frogs
9000.0,3.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,100.0,9.0,9.0,0.0,1.0,Common toad
9000.0,3.0,1.0,2.0,10.0,10.0,10.0,0.0,1.0,100.0,9.0,9.0,0.0,1.0,Tree frog
300.0,1.0,15.0,3.0,10.0,10.0,10.0,0.0,0.0,100.0,9.0,9.0,0.0,1.0,Brown frogs
